event_id,document_id,security_id,event_type,event_severity,event_direction,event_timestamp,confidence_score,source_type
DOC-003-3-WOLF003-earnings_upgrade,DOC-003-3,WOLF003,earnings_upgrade,55,positive,2026-06-26,1.0,credit_signal
DOC-004-1-WOLF004-rating_downgrade,DOC-004-1,WOLF004,rating_downgrade,75,negative,2026-07-15,1.0,regulatory_filing
DOC-004-1-WOLF004-debt_refinancing,DOC-004-1,WOLF004,debt_refinancing,75,negative,2026-07-15,1.0,regulatory_filing
DOC-004-1-WOLF004-legal_case,DOC-004-1,WOLF004,legal_case,75,negative,2026-07-15,1.0,regulatory_filing
DOC-004-2-WOLF004-major_contract_win,DOC-004-2,WOLF004,major_contract_win,55,positive,2026-07-04,1.0,credit_signal
DOC-004-2-WOLF004-earnings_upgrade,DOC-004-2,WOLF004,earnings_upgrade,55,positive,2026-07-04,1.0,credit_signal
DOC-005-1-WOLF005-major_contract_win,DOC-005-1,WOLF005,major_contract_win,55,positive,2026-07-12,1.0,credit_signal
DOC-005-1-WOLF005-earnings_upgrade,DOC-005-1,WOLF005,earnings_upgrade,55,positive,2026-07-12,1.0,credit_signal
DOC-005-3-WOLF005-dividend_increase,DOC-005-3,WOLF005,dividend_increase,55,positive,2026-06-20,1.0,exchange_announcement
DOC-005-3-WOLF005-buyback,DOC-005-3,WOLF005,buyback,55,positive,2026-06-20,1.0,exchange_announcement
DOC-006-2-WOLF006-dividend_increase,DOC-006-2,WOLF006,dividend_increase,55,positive,2026-06-28,1.0,exchange_announcement
DOC-006-2-WOLF006-buyback,DOC-006-2,WOLF006,buyback,55,positive,2026-06-28,1.0,exchange_announcement
DOC-006-3-WOLF006-profit_warning,DOC-006-3,WOLF006,profit_warning,75,negative,2026-06-17,1.0,analyst_commentary
DOC-007-1-WOLF007-dividend_increase,DOC-007-1,WOLF007,dividend_increase,55,positive,2026-07-06,1.0,exchange_announcement
DOC-007-1-WOLF007-buyback,DOC-007-1,WOLF007,buyback,55,positive,2026-07-06,1.0,exchange_announcement
DOC-007-2-WOLF007-profit_warning,DOC-007-2,WOLF007,profit_warning,75,negative,2026-06-25,1.0,analyst_commentary
DOC-007-3-WOLF007-regulatory_probe,DOC-007-3,WOLF007,regulatory_probe,75,negative,2026-06-14,1.0,regulatory_filing
DOC-007-3-WOLF007-governance_red_flag,DOC-007-3,WOLF007,governance_red_flag,75,negative,2026-06-14,1.0,regulatory_filing
DOC-008-1-WOLF008-profit_warning,DOC-008-1,WOLF008,profit_warning,75,negative,2026-07-03,1.0,analyst_commentary
DOC-008-2-WOLF008-regulatory_probe,DOC-008-2,WOLF008,regulatory_probe,75,negative,2026-06-22,1.0,regulatory_filing
DOC-008-2-WOLF008-governance_red_flag,DOC-008-2,WOLF008,governance_red_flag,75,negative,2026-06-22,1.0,regulatory_filing
DOC-008-3-WOLF008-rating_downgrade,DOC-008-3,WOLF008,rating_downgrade,75,negative,2026-06-11,1.0,credit_signal
DOC-008-3-WOLF008-debt_refinancing,DOC-008-3,WOLF008,debt_refinancing,75,negative,2026-06-11,1.0,credit_signal
DOC-008-3-WOLF008-legal_case,DOC-008-3,WOLF008,legal_case,75,negative,2026-06-11,1.0,credit_signal
DOC-009-1-WOLF009-regulatory_probe,DOC-009-1,WOLF009,regulatory_probe,75,negative,2026-06-30,1.0,regulatory_filing
DOC-009-1-WOLF009-governance_red_flag,DOC-009-1,WOLF009,governance_red_flag,75,negative,2026-06-30,1.0,regulatory_filing
DOC-009-2-WOLF009-rating_downgrade,DOC-009-2,WOLF009,rating_downgrade,75,negative,2026-06-19,1.0,credit_signal
DOC-009-2-WOLF009-debt_refinancing,DOC-009-2,WOLF009,debt_refinancing,75,negative,2026-06-19,1.0,credit_signal
DOC-009-2-WOLF009-legal_case,DOC-009-2,WOLF009,legal_case,75,negative,2026-06-19,1.0,credit_signal
DOC-009-3-WOLF009-major_contract_win,DOC-009-3,WOLF009,major_contract_win,55,positive,2026-06-08,1.0,news
DOC-009-3-WOLF009-earnings_upgrade,DOC-009-3,WOLF009,earnings_upgrade,55,positive,2026-06-08,1.0,news
DOC-010-1-WOLF010-rating_downgrade,DOC-010-1,WOLF010,rating_downgrade,75,negative,2026-06-27,1.0,credit_signal
DOC-010-1-WOLF010-debt_refinancing,DOC-010-1,WOLF010,debt_refinancing,75,negative,2026-06-27,1.0,credit_signal
DOC-010-1-WOLF010-legal_case,DOC-010-1,WOLF010,legal_case,75,negative,2026-06-27,1.0,credit_signal
DOC-010-2-WOLF010-major_contract_win,DOC-010-2,WOLF010,major_contract_win,55,positive,2026-06-16,1.0,news
DOC-010-2-WOLF010-earnings_upgrade,DOC-010-2,WOLF010,earnings_upgrade,55,positive,2026-06-16,1.0,news
DOC-011-1-WOLF011-major_contract_win,DOC-011-1,WOLF011,major_contract_win,55,positive,2026-06-24,1.0,news
DOC-011-1-WOLF011-earnings_upgrade,DOC-011-1,WOLF011,earnings_upgrade,55,positive,2026-06-24,1.0,news
DOC-011-3-WOLF011-dividend_increase,DOC-011-3,WOLF011,dividend_increase,55,positive,2026-06-02,1.0,analyst_commentary
DOC-011-3-WOLF011-buyback,DOC-011-3,WOLF011,buyback,55,positive,2026-06-02,1.0,analyst_commentary
DOC-012-2-WOLF012-dividend_increase,DOC-012-2,WOLF012,dividend_increase,55,positive,2026-06-10,1.0,analyst_commentary
DOC-012-2-WOLF012-buyback,DOC-012-2,WOLF012,buyback,55,positive,2026-06-10,1.0,analyst_commentary
DOC-012-3-WOLF012-profit_warning,DOC-012-3,WOLF012,profit_warning,75,negative,2026-05-30,1.0,regulatory_filing
DOC-013-1-WOLF013-dividend_increase,DOC-013-1,WOLF013,dividend_increase,55,positive,2026-06-18,1.0,analyst_commentary
DOC-013-1-WOLF013-buyback,DOC-013-1,WOLF013,buyback,55,positive,2026-06-18,1.0,analyst_commentary
DOC-013-2-WOLF013-profit_warning,DOC-013-2,WOLF013,profit_warning,75,negative,2026-06-07,1.0,regulatory_filing
DOC-013-3-WOLF013-regulatory_probe,DOC-013-3,WOLF013,regulatory_probe,75,negative,2026-05-27,1.0,credit_signal
DOC-013-3-WOLF013-governance_red_flag,DOC-013-3,WOLF013,governance_red_flag,75,negative,2026-05-27,1.0,credit_signal
DOC-014-1-WOLF014-profit_warning,DOC-014-1,WOLF014,profit_warning,75,negative,2026-06-15,1.0,regulatory_filing
DOC-014-2-WOLF014-regulatory_probe,DOC-014-2,WOLF014,regulatory_probe,75,negative,2026-06-04,1.0,credit_signal
DOC-014-2-WOLF014-governance_red_flag,DOC-014-2,WOLF014,governance_red_flag,75,negative,2026-06-04,1.0,credit_signal
DOC-014-3-WOLF014-rating_downgrade,DOC-014-3,WOLF014,rating_downgrade,75,negative,2026-05-24,1.0,news
DOC-014-3-WOLF014-debt_refinancing,DOC-014-3,WOLF014,debt_refinancing,75,negative,2026-05-24,1.0,news
DOC-014-3-WOLF014-legal_case,DOC-014-3,WOLF014,legal_case,75,negative,2026-05-24,1.0,news
DOC-015-1-WOLF015-regulatory_probe,DOC-015-1,WOLF015,regulatory_probe,75,negative,2026-06-12,1.0,credit_signal
DOC-015-1-WOLF015-governance_red_flag,DOC-015-1,WOLF015,governance_red_flag,75,negative,2026-06-12,1.0,credit_signal
DOC-015-2-WOLF015-rating_downgrade,DOC-015-2,WOLF015,rating_downgrade,75,negative,2026-06-01,1.0,news
DOC-015-2-WOLF015-debt_refinancing,DOC-015-2,WOLF015,debt_refinancing,75,negative,2026-06-01,1.0,news
DOC-015-2-WOLF015-legal_case,DOC-015-2,WOLF015,legal_case,75,negative,2026-06-01,1.0,news
DOC-015-3-WOLF015-major_contract_win,DOC-015-3,WOLF015,major_contract_win,55,positive,2026-05-21,1.0,exchange_announcement
DOC-015-3-WOLF015-earnings_upgrade,DOC-015-3,WOLF015,earnings_upgrade,55,positive,2026-05-21,1.0,exchange_announcement
DOC-016-1-WOLF016-rating_downgrade,DOC-016-1,WOLF016,rating_downgrade,75,negative,2026-06-09,1.0,news
DOC-016-1-WOLF016-debt_refinancing,DOC-016-1,WOLF016,debt_refinancing,75,negative,2026-06-09,1.0,news
DOC-016-1-WOLF016-legal_case,DOC-016-1,WOLF016,legal_case,75,negative,2026-06-09,1.0,news
DOC-016-2-WOLF016-major_contract_win,DOC-016-2,WOLF016,major_contract_win,55,positive,2026-05-29,1.0,exchange_announcement
DOC-016-2-WOLF016-earnings_upgrade,DOC-016-2,WOLF016,earnings_upgrade,55,positive,2026-05-29,1.0,exchange_announcement
DOC-017-1-WOLF017-major_contract_win,DOC-017-1,WOLF017,major_contract_win,55,positive,2026-06-06,1.0,exchange_announcement
DOC-017-1-WOLF017-earnings_upgrade,DOC-017-1,WOLF017,earnings_upgrade,55,positive,2026-06-06,1.0,exchange_announcement
DOC-017-3-WOLF017-dividend_increase,DOC-017-3,WOLF017,dividend_increase,55,positive,2026-05-15,1.0,regulatory_filing
DOC-017-3-WOLF017-buyback,DOC-017-3,WOLF017,buyback,55,positive,2026-05-15,1.0,regulatory_filing
DOC-018-2-WOLF018-dividend_increase,DOC-018-2,WOLF018,dividend_increase,55,positive,2026-05-23,1.0,regulatory_filing
DOC-018-2-WOLF018-buyback,DOC-018-2,WOLF018,buyback,55,positive,2026-05-23,1.0,regulatory_filing
DOC-018-3-WOLF018-profit_warning,DOC-018-3,WOLF018,profit_warning,75,negative,2026-05-12,1.0,credit_signal
DOC-019-1-WOLF019-dividend_increase,DOC-019-1,WOLF019,dividend_increase,55,positive,2026-05-31,1.0,regulatory_filing
DOC-019-1-WOLF019-buyback,DOC-019-1,WOLF019,buyback,55,positive,2026-05-31,1.0,regulatory_filing
DOC-019-2-WOLF019-profit_warning,DOC-019-2,WOLF019,profit_warning,75,negative,2026-05-20,1.0,credit_signal
DOC-019-3-WOLF019-regulatory_probe,DOC-019-3,WOLF019,regulatory_probe,75,negative,2026-05-09,1.0,news
DOC-019-3-WOLF019-governance_red_flag,DOC-019-3,WOLF019,governance_red_flag,75,negative,2026-05-09,1.0,news
DOC-020-1-WOLF020-profit_warning,DOC-020-1,WOLF020,profit_warning,75,negative,2026-05-28,1.0,credit_signal
DOC-020-2-WOLF020-regulatory_probe,DOC-020-2,WOLF020,regulatory_probe,75,negative,2026-05-17,1.0,news
DOC-020-2-WOLF020-governance_red_flag,DOC-020-2,WOLF020,governance_red_flag,75,negative,2026-05-17,1.0,news
DOC-020-3-WOLF020-rating_downgrade,DOC-020-3,WOLF020,rating_downgrade,75,negative,2026-05-06,1.0,exchange_announcement
DOC-020-3-WOLF020-debt_refinancing,DOC-020-3,WOLF020,debt_refinancing,75,negative,2026-05-06,1.0,exchange_announcement
DOC-020-3-WOLF020-legal_case,DOC-020-3,WOLF020,legal_case,75,negative,2026-05-06,1.0,exchange_announcement
DOC-021-1-WOLF021-regulatory_probe,DOC-021-1,WOLF021,regulatory_probe,75,negative,2026-05-25,1.0,news
DOC-021-1-WOLF021-governance_red_flag,DOC-021-1,WOLF021,governance_red_flag,75,negative,2026-05-25,1.0,news
DOC-021-2-WOLF021-rating_downgrade,DOC-021-2,WOLF021,rating_downgrade,75,negative,2026-05-14,1.0,exchange_announcement
DOC-021-2-WOLF021-debt_refinancing,DOC-021-2,WOLF021,debt_refinancing,75,negative,2026-05-14,1.0,exchange_announcement
DOC-021-2-WOLF021-legal_case,DOC-021-2,WOLF021,legal_case,75,negative,2026-05-14,1.0,exchange_announcement
DOC-021-3-WOLF021-major_contract_win,DOC-021-3,WOLF021,major_contract_win,55,positive,2026-05-03,1.0,analyst_commentary
DOC-021-3-WOLF021-earnings_upgrade,DOC-021-3,WOLF021,earnings_upgrade,55,positive,2026-05-03,1.0,analyst_commentary
DOC-022-1-WOLF022-rating_downgrade,DOC-022-1,WOLF022,rating_downgrade,75,negative,2026-05-22,1.0,exchange_announcement
DOC-022-1-WOLF022-debt_refinancing,DOC-022-1,WOLF022,debt_refinancing,75,negative,2026-05-22,1.0,exchange_announcement
DOC-022-1-WOLF022-legal_case,DOC-022-1,WOLF022,legal_case,75,negative,2026-05-22,1.0,exchange_announcement
DOC-022-2-WOLF022-major_contract_win,DOC-022-2,WOLF022,major_contract_win,55,positive,2026-05-11,1.0,analyst_commentary
DOC-022-2-WOLF022-earnings_upgrade,DOC-022-2,WOLF022,earnings_upgrade,55,positive,2026-05-11,1.0,analyst_commentary
DOC-023-1-WOLF023-major_contract_win,DOC-023-1,WOLF023,major_contract_win,55,positive,2026-05-19,1.0,analyst_commentary
DOC-023-1-WOLF023-earnings_upgrade,DOC-023-1,WOLF023,earnings_upgrade,55,positive,2026-05-19,1.0,analyst_commentary
DOC-023-3-WOLF023-dividend_increase,DOC-023-3,WOLF023,dividend_increase,55,positive,2026-04-27,1.0,credit_signal
DOC-023-3-WOLF023-buyback,DOC-023-3,WOLF023,buyback,55,positive,2026-04-27,1.0,credit_signal
DOC-024-2-WOLF024-dividend_increase,DOC-024-2,WOLF024,dividend_increase,55,positive,2026-05-05,1.0,credit_signal
DOC-024-2-WOLF024-buyback,DOC-024-2,WOLF024,buyback,55,positive,2026-05-05,1.0,credit_signal
DOC-024-3-WOLF024-profit_warning,DOC-024-3,WOLF024,profit_warning,75,negative,2026-04-24,1.0,news
